Strategy,Score = -CVaR50%(G),CVaR50% Gain,Mean P&L,Std P&L,RMSE,Avg Cost,Avg Turnover
Analytical Heston delta,0.792433,-0.792433,-0.262549,0.662189,0.712335,0.256818,2.549641
Recurrent NN,0.835884,-0.835884,-0.176706,0.869671,0.887437,0.168909,1.670799
Simple NN,0.912724,-0.912724,-0.175168,0.9651,0.980863,0.167579,1.659532
