Strategy,Score = -CVaR50%(G),CVaR50% Gain,Mean P&L,Std P&L,RMSE,Avg Cost,Avg Turnover
Black-Scholes delta,0.312089,-0.312089,0.001928,0.415968,0.41597,0.0,2.457386
Simple NN,0.35548,-0.35548,0.001533,0.463713,0.463714,0.0,2.451576
Recurrent NN,0.386342,-0.386342,0.001832,0.506897,0.506898,0.0,2.125058
