Strategy,Score = -CVaR50%(G),CVaR50% Gain,Mean P&L,Std P&L,RMSE,Avg Cost,Avg Turnover
Simple NN,1.674427,-1.674427,-0.371642,1.665681,1.706629,0.362961,0.725355
Recurrent NN,1.681779,-1.681779,-0.377485,1.662184,1.704501,0.369175,0.738011
Analytical Heston delta,1.836749,-1.836749,-1.289821,0.703413,1.469157,1.28409,2.549641
