epoch,Simple NN,Recurrent NN
1,1.4319710731506348,1.4468460083007812
2,1.371773362159729,1.375994324684143
3,1.3673946857452393,1.3693541288375854
4,1.4092234373092651,1.4131450653076172
5,1.2961773872375488,1.3039897680282593
6,1.3595798015594482,1.3624917268753052
7,1.4149051904678345,1.4203455448150635
8,1.361682415008545,1.358794093132019
9,1.3624523878097534,1.3621020317077637
10,1.3407868146896362,1.3375276327133179
11,1.414365291595459,1.413840889930725
12,1.330199956893921,1.330497145652771
13,1.3985329866409302,1.3964155912399292
14,1.4320298433303833,1.4301326274871826
15,1.2963883876800537,1.2952640056610107
16,1.3736268281936646,1.3712642192840576
17,1.3962475061416626,1.3965314626693726
18,1.3234329223632812,1.3232905864715576
19,1.3991093635559082,1.3982402086257935
20,1.3421767950057983,1.3418470621109009
21,1.3131463527679443,1.3131507635116577
22,1.3386954069137573,1.3395510911941528
23,1.34480881690979,1.3432105779647827
24,1.3840917348861694,1.3843765258789062
25,1.328079342842102,1.328291654586792
26,1.3559865951538086,1.35490083694458
27,1.372192621231079,1.3711448907852173
28,1.3415404558181763,1.3403761386871338
29,1.3759667873382568,1.3779809474945068
30,1.3662569522857666,1.3657262325286865
31,1.3725395202636719,1.3699522018432617
32,1.3606013059616089,1.3608237504959106
33,1.355907917022705,1.3540546894073486
34,1.305687427520752,1.3042088747024536
35,1.3975130319595337,1.3990291357040405
36,1.400470495223999,1.4004590511322021
37,1.372908592224121,1.3700984716415405
38,1.363160490989685,1.3652892112731934
39,1.2682281732559204,1.2664034366607666
40,1.34302818775177,1.3434696197509766
41,1.326541543006897,1.326625108718872
42,1.2771885395050049,1.2734028100967407
43,1.3541996479034424,1.3533148765563965
44,1.3612689971923828,1.3617290258407593
45,1.3304122686386108,1.3292142152786255
46,1.3092167377471924,1.3085081577301025
47,1.3683006763458252,1.3670892715454102
48,1.2939794063568115,1.294873595237732
49,1.3406882286071777,1.340335488319397
50,1.3504441976547241,1.3512961864471436
51,1.3887406587600708,1.389114260673523
52,1.3108677864074707,1.313364028930664
53,1.377198338508606,1.378688097000122
54,1.3130207061767578,1.314683437347412
55,1.3671510219573975,1.36562180519104
56,1.2896417379379272,1.289066195487976
57,1.300563097000122,1.2986116409301758
58,1.2768628597259521,1.2747950553894043
59,1.282325267791748,1.282407522201538
60,1.3766509294509888,1.379110336303711
61,1.3656542301177979,1.3644928932189941
62,1.2964085340499878,1.2989534139633179
63,1.3305732011795044,1.3287816047668457
64,1.357657790184021,1.3571642637252808
65,1.2844371795654297,1.2846163511276245
66,1.2734119892120361,1.2788282632827759
67,1.3453043699264526,1.3468623161315918
68,1.3164122104644775,1.3150557279586792
69,1.3143168687820435,1.3152223825454712
70,1.3030564785003662,1.304621696472168
71,1.3055065870285034,1.3102500438690186
72,1.2550865411758423,1.2604665756225586
73,1.3177845478057861,1.3217833042144775
74,1.270012617111206,1.2687270641326904
75,1.2639458179473877,1.2713435888290405
76,1.2496362924575806,1.2565709352493286
77,1.2559335231781006,1.2545011043548584
78,1.2511978149414062,1.257547378540039
79,1.2363265752792358,1.2327258586883545
80,1.3142738342285156,1.314947247505188
81,1.2707500457763672,1.2763471603393555
82,1.2397894859313965,1.2419793605804443
83,1.2459882497787476,1.2458804845809937
84,1.2567071914672852,1.2615963220596313
85,1.2259845733642578,1.2393943071365356
86,1.2793177366256714,1.2803878784179688
87,1.2287403345108032,1.2363770008087158
88,1.277105450630188,1.2705092430114746
89,1.2520602941513062,1.2519123554229736
90,1.231518268585205,1.2375534772872925
91,1.2771267890930176,1.2800467014312744
92,1.165489912033081,1.1699979305267334
93,1.2066575288772583,1.2073073387145996
94,1.242882251739502,1.241769552230835
95,1.2080674171447754,1.2085022926330566
96,1.1505062580108643,1.1143839359283447
97,1.120591402053833,1.1231005191802979
98,1.1582192182540894,1.1519420146942139
99,1.1520715951919556,1.1491938829421997
100,1.1457940340042114,1.1444637775421143
101,1.173762321472168,1.1559914350509644
102,1.1827746629714966,1.1716036796569824
103,1.1245975494384766,1.1205613613128662
104,1.1225452423095703,1.1115905046463013
105,1.1627137660980225,1.1335930824279785
106,1.1097840070724487,1.0762667655944824
107,1.132289171218872,1.1190822124481201
108,1.1337639093399048,1.0872241258621216
109,1.0747241973876953,1.0517749786376953
110,1.1565579175949097,1.097425103187561
111,1.1417062282562256,1.0763152837753296
112,1.0874063968658447,1.0374393463134766
113,1.1101154088974,1.0396990776062012
114,1.090774416923523,1.0286808013916016
115,1.061246633529663,0.9924206733703613
116,1.0237232446670532,0.9444201588630676
117,1.0206984281539917,0.9252968430519104
118,0.9750528335571289,0.8958868384361267
119,1.086289882659912,0.9831939339637756
120,0.9990401268005371,0.8975948095321655
121,0.971248209476471,0.8666280508041382
122,0.9721115827560425,0.8651267886161804
123,0.987521231174469,0.8611503839492798
124,0.9310944080352783,0.7990849018096924
125,0.9598833322525024,0.8310067057609558
126,0.9048537611961365,0.7849299907684326
127,0.9613457322120667,0.796881914138794
128,0.947581946849823,0.8271507024765015
129,0.9166691303253174,0.7680757641792297
130,0.9609767198562622,0.7982959151268005
131,0.8783526420593262,0.7431490421295166
132,0.8924335837364197,0.7458478808403015
133,0.8628485798835754,0.7049285173416138
134,0.8507028818130493,0.7036600112915039
135,0.873820424079895,0.7037305235862732
136,0.8400757908821106,0.6891213059425354
137,0.8434125185012817,0.6822524666786194
138,0.8439371585845947,0.6668073534965515
139,0.8499701619148254,0.6560230255126953
140,0.7897783517837524,0.6407446265220642
141,0.7583789825439453,0.6003231406211853
142,0.7908393144607544,0.6268539428710938
143,0.7963088750839233,0.6282320618629456
144,0.7659011483192444,0.595403254032135
145,0.7574325799942017,0.6060755252838135
146,0.7458053827285767,0.5796706080436707
147,0.7542315125465393,0.5574418306350708
148,0.7484371662139893,0.5716800689697266
149,0.7358272671699524,0.5809751152992249
150,0.7021908164024353,0.5582229495048523
151,0.7176488041877747,0.5619812607765198
152,0.6740496158599854,0.560859203338623
153,0.6883063316345215,0.5569183826446533
154,0.6756946444511414,0.5436745882034302
155,0.6516932845115662,0.5393580198287964
156,0.6555020213127136,0.5382340550422668
157,0.6603069305419922,0.542383074760437
158,0.6534317135810852,0.5566547513008118
159,0.6483128070831299,0.541529655456543
160,0.6109147071838379,0.5221213698387146
161,0.6641705632209778,0.5539827942848206
162,0.6171939373016357,0.5454729795455933
163,0.6389496326446533,0.5352087020874023
164,0.6323092579841614,0.5510731935501099
165,0.6107273101806641,0.5282768607139587
166,0.5839873552322388,0.5120536684989929
167,0.5892969369888306,0.5268166661262512
168,0.546987771987915,0.4940411448478699
169,0.5850598216056824,0.5250155925750732
170,0.5592061281204224,0.502346932888031
171,0.5589922666549683,0.5151967406272888
172,0.5756217241287231,0.5178781151771545
173,0.5560660362243652,0.5022708177566528
174,0.5498856902122498,0.5071015954017639
175,0.5527445077896118,0.5247820615768433
176,0.5344265699386597,0.5165161490440369
177,0.5265495777130127,0.5175197124481201
178,0.532378613948822,0.5092488527297974
179,0.5273168683052063,0.49499067664146423
180,0.5183186531066895,0.49874576926231384
181,0.5009657144546509,0.4677283763885498
182,0.5133402347564697,0.5019173622131348
183,0.5079956650733948,0.4716414511203766
184,0.4891263246536255,0.46944659948349
185,0.5005088448524475,0.49097833037376404
186,0.49281519651412964,0.4684722423553467
187,0.49344491958618164,0.49053439497947693
188,0.5136812329292297,0.4997331202030182
189,0.45707640051841736,0.4502776563167572
190,0.47580018639564514,0.46743300557136536
191,0.46317148208618164,0.4576834738254547
192,0.4430285394191742,0.46860119700431824
193,0.45595359802246094,0.4726771116256714
194,0.4349192976951599,0.46267005801200867
195,0.45596054196357727,0.4765745997428894
196,0.46315303444862366,0.4758773744106293
197,0.4373195171356201,0.45124560594558716
198,0.4369502365589142,0.4770005941390991
199,0.4372056722640991,0.4751070737838745
200,0.43445834517478943,0.45195525884628296
201,0.4337351322174072,0.45883822441101074
202,0.40710920095443726,0.44881772994995117
203,0.4113596975803375,0.4349159598350525
204,0.42565715312957764,0.4484587013721466
205,0.41790854930877686,0.44921526312828064
206,0.4083271622657776,0.45840105414390564
207,0.4239979386329651,0.4528103172779083
208,0.4128744304180145,0.44689562916755676
209,0.39316526055336,0.42935433983802795
210,0.4090866148471832,0.4367670714855194
211,0.4115676283836365,0.45769163966178894
212,0.41138139367103577,0.4474923610687256
213,0.3736518621444702,0.42471903562545776
214,0.38545092940330505,0.4242296516895294
215,0.39327192306518555,0.44599756598472595
216,0.4124875068664551,0.449354350566864
217,0.38927266001701355,0.43245476484298706
218,0.39576730132102966,0.4346122145652771
219,0.38929811120033264,0.4269913136959076
220,0.3964122235774994,0.44339048862457275
221,0.38514262437820435,0.4244260787963867
222,0.37558555603027344,0.40892910957336426
223,0.3770521879196167,0.4104291498661041
224,0.37859517335891724,0.4175093472003937
225,0.385588675737381,0.4288221001625061
226,0.39061906933784485,0.42359688878059387
227,0.36340194940567017,0.40568000078201294
228,0.3619600534439087,0.3962973952293396
229,0.3704881966114044,0.4020310342311859
230,0.36656227707862854,0.40776094794273376
231,0.36682429909706116,0.41659027338027954
232,0.3638678789138794,0.41019269824028015
233,0.37995120882987976,0.4190441370010376
234,0.37625429034233093,0.407886266708374
235,0.35814738273620605,0.3996428847312927
236,0.35515761375427246,0.3753317892551422
237,0.35670092701911926,0.38449031114578247
238,0.3814760744571686,0.39762890338897705
239,0.3646961748600006,0.37894609570503235
240,0.3534811735153198,0.3790959417819977
241,0.3628212511539459,0.39721816778182983
242,0.34917157888412476,0.37307029962539673
243,0.3791658282279968,0.4077301025390625
244,0.3641657531261444,0.3908131718635559
245,0.3492203950881958,0.39371633529663086
246,0.36276665329933167,0.4043571949005127
247,0.36673566699028015,0.3999437391757965
248,0.3696799576282501,0.3879787027835846
249,0.3646533787250519,0.38078510761260986
250,0.3529556691646576,0.379929780960083
