epoch,Simple NN,Recurrent NN
1,1.4906909465789795,1.525727391242981
2,1.5566030740737915,1.5820130109786987
3,1.443110704421997,1.4593147039413452
4,1.5303806066513062,1.5477752685546875
5,1.5214327573776245,1.5395729541778564
6,1.3981928825378418,1.415102243423462
7,1.386681318283081,1.4004884958267212
8,1.4170173406600952,1.436209797859192
9,1.3998119831085205,1.4281374216079712
10,1.4736772775650024,1.4938355684280396
11,1.4796357154846191,1.4910296201705933
12,1.4375089406967163,1.4469847679138184
13,1.4397263526916504,1.4476277828216553
14,1.4019224643707275,1.4089802503585815
15,1.4115900993347168,1.4195376634597778
16,1.4405155181884766,1.4524192810058594
17,1.4161471128463745,1.4295159578323364
18,1.4171572923660278,1.4292327165603638
19,1.369363784790039,1.3757736682891846
20,1.4368221759796143,1.4452481269836426
21,1.4172556400299072,1.4227790832519531
22,1.400834083557129,1.4080696105957031
23,1.3321467638015747,1.3333306312561035
24,1.3437381982803345,1.3460835218429565
25,1.3419363498687744,1.3449008464813232
26,1.5268036127090454,1.527940273284912
27,1.3746246099472046,1.376314401626587
28,1.4501227140426636,1.4536360502243042
29,1.391640067100525,1.3949344158172607
30,1.4225451946258545,1.420130729675293
31,1.380157232284546,1.3822095394134521
32,1.3760095834732056,1.3743776082992554
33,1.3906543254852295,1.3893916606903076
34,1.3786518573760986,1.379905104637146
35,1.4297666549682617,1.430140495300293
36,1.4561030864715576,1.4575210809707642
37,1.3812423944473267,1.3826860189437866
38,1.4462488889694214,1.4461092948913574
39,1.3774784803390503,1.3767985105514526
40,1.4230438470840454,1.4228922128677368
41,1.4891773462295532,1.489617109298706
42,1.4635218381881714,1.4628604650497437
43,1.4697489738464355,1.4710897207260132
44,1.390144944190979,1.3925453424453735
45,1.4033116102218628,1.40402090549469
46,1.3752121925354004,1.3772763013839722
47,1.4581924676895142,1.4593616724014282
48,1.3499292135238647,1.35201895236969
49,1.3734984397888184,1.3744971752166748
50,1.401071310043335,1.4020001888275146
51,1.427096962928772,1.4261298179626465
52,1.3976761102676392,1.396003246307373
53,1.3439377546310425,1.3436126708984375
54,1.4774179458618164,1.4794678688049316
55,1.4014782905578613,1.4032822847366333
56,1.3989089727401733,1.399267554283142
57,1.3785929679870605,1.378713846206665
58,1.3825255632400513,1.3825953006744385
59,1.3291964530944824,1.3288990259170532
60,1.4822676181793213,1.4840686321258545
61,1.3538084030151367,1.3553344011306763
62,1.4410078525543213,1.4416025876998901
63,1.4373977184295654,1.4381234645843506
64,1.3562809228897095,1.3581839799880981
65,1.3786393404006958,1.381019115447998
66,1.4162052869796753,1.4154994487762451
67,1.3796765804290771,1.3798694610595703
68,1.3544896841049194,1.3545418977737427
69,1.3329087495803833,1.3356130123138428
70,1.4522581100463867,1.4546819925308228
71,1.4074110984802246,1.4081887006759644
72,1.4246079921722412,1.4256813526153564
73,1.3460506200790405,1.347723364830017
74,1.415542483329773,1.418000340461731
75,1.4126255512237549,1.4128779172897339
76,1.3926913738250732,1.3954440355300903
77,1.3948612213134766,1.3954601287841797
78,1.3745626211166382,1.3762080669403076
79,1.3769415616989136,1.3830825090408325
80,1.3904647827148438,1.3898886442184448
81,1.3905805349349976,1.393647313117981
82,1.3927369117736816,1.3953696489334106
83,1.3471858501434326,1.3502388000488281
84,1.4073364734649658,1.4104396104812622
85,1.2862043380737305,1.2881892919540405
86,1.3673756122589111,1.3706437349319458
87,1.3439136743545532,1.3485496044158936
88,1.3940181732177734,1.3960820436477661
89,1.3663944005966187,1.371978759765625
90,1.4361298084259033,1.4408966302871704
91,1.4733779430389404,1.479979395866394
92,1.4099289178848267,1.4147156476974487
93,1.3711963891983032,1.3757375478744507
94,1.3915470838546753,1.3971720933914185
95,1.422394871711731,1.4285107851028442
96,1.369163155555725,1.3726305961608887
97,1.2849698066711426,1.2902361154556274
98,1.3765912055969238,1.3841092586517334
99,1.3683069944381714,1.3727773427963257
100,1.342134714126587,1.3466796875
101,1.3759815692901611,1.3825116157531738
102,1.314111351966858,1.3233041763305664
103,1.3975590467453003,1.4052704572677612
104,1.3519154787063599,1.3597875833511353
105,1.3688585758209229,1.3758500814437866
106,1.3809536695480347,1.3882970809936523
107,1.362440586090088,1.370714783668518
108,1.333052635192871,1.3405216932296753
109,1.3953776359558105,1.4018757343292236
110,1.416576623916626,1.4239033460617065
111,1.326301097869873,1.3357625007629395
112,1.3859366178512573,1.3969216346740723
113,1.3290506601333618,1.3365060091018677
114,1.3551093339920044,1.3679249286651611
115,1.3691506385803223,1.3793309926986694
116,1.4132146835327148,1.4213073253631592
117,1.3829087018966675,1.3911970853805542
118,1.361590027809143,1.3747385740280151
119,1.3950594663619995,1.405908226966858
120,1.3825465440750122,1.3999090194702148
121,1.412557601928711,1.4239555597305298
122,1.3554710149765015,1.3663406372070312
123,1.2571861743927002,1.2648355960845947
124,1.3077812194824219,1.3205054998397827
125,1.3208740949630737,1.338078260421753
126,1.3505319356918335,1.3682258129119873
127,1.3338258266448975,1.349647879600525
128,1.3775899410247803,1.3940626382827759
129,1.2737607955932617,1.2916496992111206
130,1.3137837648391724,1.3294057846069336
131,1.343224048614502,1.3600059747695923
132,1.3449840545654297,1.3651071786880493
133,1.3346835374832153,1.3534973859786987
134,1.340613842010498,1.355143666267395
135,1.3357771635055542,1.3534629344940186
136,1.3370230197906494,1.3560208082199097
137,1.299258828163147,1.309627890586853
138,1.3557811975479126,1.3724915981292725
139,1.3580780029296875,1.3780708312988281
140,1.3675339221954346,1.3902760744094849
141,1.3011525869369507,1.3207892179489136
142,1.4381901025772095,1.4653635025024414
143,1.3339723348617554,1.3566703796386719
144,1.245474100112915,1.2664848566055298
145,1.3604991436004639,1.3861194849014282
146,1.2963824272155762,1.3220949172973633
147,1.2821744680404663,1.313236951828003
148,1.315505027770996,1.3422048091888428
149,1.3168691396713257,1.3431527614593506
150,1.2992348670959473,1.331961989402771
151,1.3391766548156738,1.3616681098937988
152,1.3181949853897095,1.343863844871521
153,1.2809410095214844,1.306726336479187
154,1.2876888513565063,1.3160629272460938
155,1.2692071199417114,1.2922348976135254
156,1.2151532173156738,1.2468637228012085
157,1.2770847082138062,1.304438829421997
158,1.2807508707046509,1.3168848752975464
159,1.2326680421829224,1.2627527713775635
160,1.234631896018982,1.2630938291549683
161,1.2472368478775024,1.2724254131317139
162,1.3397040367126465,1.3797850608825684
163,1.249065637588501,1.2823889255523682
164,1.3075251579284668,1.3436051607131958
165,1.3142112493515015,1.359019160270691
166,1.254756212234497,1.282900333404541
167,1.252869963645935,1.2811119556427002
168,1.2673321962356567,1.2940829992294312
169,1.2327907085418701,1.2687324285507202
170,1.2446266412734985,1.285686731338501
171,1.277646780014038,1.3227752447128296
172,1.2650678157806396,1.3071620464324951
173,1.2291373014450073,1.2745747566223145
174,1.2377912998199463,1.267713189125061
175,1.2516268491744995,1.2810649871826172
176,1.1738463640213013,1.2081477642059326
177,1.1967607736587524,1.2363030910491943
178,1.2379547357559204,1.2748744487762451
179,1.2376028299331665,1.2681913375854492
180,1.1862201690673828,1.2247939109802246
181,1.206769347190857,1.250978708267212
182,1.2203935384750366,1.2538608312606812
183,1.2236828804016113,1.2634752988815308
184,1.1852854490280151,1.2140119075775146
185,1.2057788372039795,1.2318381071090698
186,1.1929528713226318,1.2317380905151367
187,1.1892286539077759,1.219114065170288
188,1.226267695426941,1.2594391107559204
189,1.2151216268539429,1.2437541484832764
190,1.2061684131622314,1.2379612922668457
191,1.213881492614746,1.2466425895690918
192,1.1309490203857422,1.155358910560608
193,1.1531505584716797,1.1876797676086426
194,1.1407880783081055,1.1703146696090698
195,1.2049287557601929,1.2373825311660767
196,1.1311005353927612,1.1524087190628052
197,1.153037667274475,1.1845128536224365
198,1.1101651191711426,1.1274720430374146
199,1.1952555179595947,1.214789628982544
200,1.1372623443603516,1.1632378101348877
201,1.135254979133606,1.1581745147705078
202,1.0513044595718384,1.0565404891967773
203,1.1189035177230835,1.1338379383087158
204,1.1200612783432007,1.1218993663787842
205,1.201953649520874,1.2118545770645142
206,1.101402759552002,1.1194863319396973
207,1.123237133026123,1.1232571601867676
208,1.1320914030075073,1.1298518180847168
209,1.0755729675292969,1.0739723443984985
210,1.0641491413116455,1.0614750385284424
211,1.110658049583435,1.0902695655822754
212,1.0888592004776,1.0637391805648804
213,1.019457459449768,1.0118218660354614
214,1.0726914405822754,1.0547298192977905
215,1.0401060581207275,1.0203938484191895
216,1.065740942955017,1.040903091430664
217,1.0476220846176147,1.01582932472229
218,1.041459560394287,1.0022706985473633
219,1.0611436367034912,1.026052474975586
220,1.0899862051010132,1.045240044593811
221,1.0222077369689941,0.9762806296348572
222,1.0246332883834839,0.9723440408706665
223,1.0390701293945312,0.9864095449447632
224,1.0308241844177246,0.9763946533203125
225,1.0129046440124512,0.9500126838684082
226,1.0570870637893677,0.9899899959564209
227,1.02874755859375,0.9515252113342285
228,0.9928311109542847,0.9266120195388794
229,1.0176959037780762,0.9549446702003479
230,0.966160237789154,0.8935276865959167
231,0.9665427803993225,0.8885881304740906
232,0.9882573485374451,0.925455629825592
233,1.0135329961776733,0.9377407431602478
234,0.981581449508667,0.9109258651733398
235,0.9807753562927246,0.8916274905204773
236,0.9807140231132507,0.8890321254730225
237,0.9604434967041016,0.8704229593276978
238,0.9966842532157898,0.9139843583106995
239,0.9650226831436157,0.8921589851379395
240,0.9538302421569824,0.8854795694351196
241,0.9634989500045776,0.8963426947593689
242,0.9337146282196045,0.8561332821846008
243,0.9483742117881775,0.8579990267753601
244,0.9590791463851929,0.8912813663482666
245,0.9890788197517395,0.9106583595275879
246,0.9436350464820862,0.8693287372589111
247,0.8960315585136414,0.84480220079422
248,0.9219774603843689,0.8416412472724915
249,0.9479965567588806,0.8758060932159424
250,0.9150424003601074,0.8482593894004822
