epoch,Simple NN,Recurrent NN
1,2.2992537021636963,2.650178909301758
2,2.166637897491455,2.424600124359131
3,2.1056551933288574,2.3028998374938965
4,2.1163651943206787,2.2874915599823
5,1.929128646850586,2.066006898880005
6,1.974332332611084,2.0922768115997314
7,2.0093796253204346,2.1012814044952393
8,1.9347991943359375,2.0078256130218506
9,1.9207741022109985,2.0029048919677734
10,1.884048342704773,1.9508715867996216
11,1.9629844427108765,2.018850326538086
12,1.8678734302520752,1.9121443033218384
13,1.9537720680236816,1.9870203733444214
14,1.9858787059783936,2.0102522373199463
15,1.8366155624389648,1.8582396507263184
16,1.9242395162582397,1.9424865245819092
17,1.935860276222229,1.9652093648910522
18,1.8510279655456543,1.8854420185089111
19,1.9264883995056152,1.9633677005767822
20,1.8505092859268188,1.8883559703826904
21,1.8269131183624268,1.851423978805542
22,1.8554167747497559,1.8730931282043457
23,1.866762399673462,1.874077558517456
24,1.8981205224990845,1.8990733623504639
25,1.8454487323760986,1.8414305448532104
26,1.867713212966919,1.8691301345825195
27,1.8804985284805298,1.88372004032135
28,1.8431740999221802,1.851873755455017
29,1.8947566747665405,1.9060192108154297
30,1.876578450202942,1.8844141960144043
31,1.8814347982406616,1.8921302556991577
32,1.871838927268982,1.8865302801132202
33,1.8661179542541504,1.8820604085922241
34,1.8103315830230713,1.8224303722381592
35,1.9130239486694336,1.9227724075317383
36,1.9123516082763672,1.9176396131515503
37,1.8759253025054932,1.883786678314209
38,1.87967848777771,1.8829615116119385
39,1.7680377960205078,1.7731600999832153
40,1.8573147058486938,1.86333429813385
41,1.8326574563980103,1.8404390811920166
42,1.783779263496399,1.7890512943267822
43,1.8688198328018188,1.8763386011123657
44,1.8773047924041748,1.8868407011032104
45,1.8481959104537964,1.8538424968719482
46,1.828439712524414,1.8322091102600098
47,1.8887029886245728,1.8941106796264648
48,1.8048268556594849,1.810656189918518
49,1.8597379922866821,1.864289402961731
50,1.8674508333206177,1.8757638931274414
51,1.9095790386199951,1.9170677661895752
52,1.8281737565994263,1.8356382846832275
53,1.9014445543289185,1.9067788124084473
54,1.827672004699707,1.8353604078292847
55,1.8852059841156006,1.8907338380813599
56,1.800040602684021,1.808462142944336
57,1.8256309032440186,1.8320940732955933
58,1.8042038679122925,1.809755802154541
59,1.802674412727356,1.8089407682418823
60,1.9098931550979614,1.9164913892745972
61,1.8901571035385132,1.8979872465133667
62,1.825170874595642,1.8320634365081787
63,1.859018325805664,1.8660566806793213
64,1.8913440704345703,1.8993866443634033
65,1.8184453248977661,1.827509880065918
66,1.8141072988510132,1.8229544162750244
67,1.889378547668457,1.896009922027588
68,1.8651976585388184,1.8712730407714844
69,1.8605729341506958,1.8684887886047363
70,1.849419355392456,1.8555941581726074
71,1.8571099042892456,1.864206314086914
72,1.8060224056243896,1.8105623722076416
73,1.8607383966445923,1.8680384159088135
74,1.8179945945739746,1.823347806930542
75,1.8211652040481567,1.8277500867843628
76,1.8068978786468506,1.8118400573730469
